"Medal","Year","NOC","count"
"Bronze",1948,"TUR",2
"Bronze",1948,"URU",2
"Bronze",1948,"USA",35
"Bronze",1952,"ARG",2
"Bronze",1952,"AUS",11
"Bronze",1952,"AUT",2
"Bronze",1952,"BRA",2
"Bronze",1952,"BUL",1
"Bronze",1952,"DEN",5
"Bronze",1952,"EGY",1
"Bronze",1952,"FIN",29
"Bronze",1952,"FRA",16
"Bronze",1952,"GBR",26
"Bronze",1952,"GER",26
"Bronze",1952,"HUN",32
"Bronze",1952,"IND",1
"Bronze",1952,"IRI",4
"Bronze",1952,"ITA",15
"Bronze",1952,"JPN",2
"Bronze",1952,"KOR",2
"Bronze",1952,"LIB",1
"Bronze",1952,"NZL",2
"Bronze",1952,"POL",1
"Bronze",1952,"POR",2
"Bronze",1952,"ROU",2
"Bronze",1952,"RSA",4
"Bronze",1952,"SUI",12
"Bronze",1952,"SWE",23
"Bronze",1952,"TCH",10
"Bronze",1952,"TRI",2
"Bronze",1952,"TUR",1
"Bronze",1952,"URS",19
"Bronze",1952,"URU",14
"Bronze",1952,"USA",28
"Bronze",1952,"VEN",1
"Bronze",1956,"ARG",1
"Bronze",1956,"AUS",26
"Bronze",1956,"AUT",4
"Bronze",1956,"BAH",2
"Bronze",1956,"BUL",14
"Bronze",1956,"CAN",5
"Bronze",1956,"CHI",2
"Bronze",1956,"DEN",1
"Bronze",1956,"EUA",22
"Bronze",1956,"FIN",22
"Bronze",1956,"FRA",13
"Bronze",1956,"GBR",22
"Bronze",1956,"GRE",1
"Bronze",1956,"HUN",14
"Bronze",1956,"IRI",1
"Bronze",1956,"IRL",3
"Bronze",1956,"ITA",10
"Bronze",1956,"JPN",5
"Bronze",1956,"KOR",1
"Bronze",1956,"MEX",1
"Bronze",1956,"NOR",2
"Bronze",1956,"POL",9
"Bronze",1956,"ROU",10
"Bronze",1956,"RSA",7
"Bronze",1956,"SUI",3
"Bronze",1956,"SWE",6
"Bronze",1956,"TCH",1
"Bronze",1956,"TUR",2
"Bronze",1956,"URS",55
"Bronze",1956,"URU",12
"Bronze",1956,"USA",20
"Bronze",1960,"ARG",1
"Bronze",1960,"AUS",9
"Bronze",1960,"BEL",2
"Bronze",1960,"BRA",13
"Bronze",1960,"BUL",3
"Bronze",1960,"BWI",5
"Bronze",1960,"DEN",4
"Bronze",1960,"EGY",1
"Bronze",1960,"ESP",14
"Bronze",1960,"EUA",21
"Bronze",1960,"FIN",4
"Bronze",1960,"FRA",5
"Bronze",1960,"GBR",15
"Bronze",1960,"HUN",36
"Bronze",1960,"IRI",3
"Bronze",1960,"IRQ",1
"Bronze",1960,"ITA",34
"Bronze",1960,"JPN",10
"Bronze",1960,"MEX",1
"Bronze",1960,"NED",2
"Bronze",1960,"NZL",1
"Bronze",1960,"PAK",1
"Bronze",1960,"POL",15
"Bronze",1960,"ROU",11
"Bronze",1960,"RSA",2
"Bronze",1960,"SUI",6
"Bronze",1960,"SWE",3
"Bronze",1960,"TCH",11
"Bronze",1960,"URS",45
"Bronze",1960,"USA",21
"Bronze",1960,"VEN",1
"Bronze",1964,"AUS",29
"Bronze",1964,"BEL",1
"Bronze",1964,"BRA",12
"Bronze",1964,"BUL",2
"Bronze",1964,"CAN",1
"Bronze",1964,"DEN",4
"Bronze",1964,"EUA",49
"Bronze",1964,"FIN",2
"Bronze",1964,"FRA",17
"Bronze",1964,"GBR",5
"Bronze",1964,"GHA",1
"Bronze",1964,"HUN",7
"Bronze",1964,"IRI",2
"Bronze",1964,"IRL",1
"Bronze",1964,"ITA",9
"Bronze",1964,"JPN",27
"Bronze",1964,"KEN",1
"Bronze",1964,"KOR",1
"Bronze",1964,"MEX",1
"Bronze",1964,"NED",16
"Bronze",1964,"NGR",1
"Bronze",1964,"NZL",2
"Bronze",1964,"POL",25
"Bronze",1964,"ROU",10
"Bronze",1964,"SUI",1
"Bronze",1964,"SWE",8
"Bronze",1964,"TCH",12
"Bronze",1964,"TRI",5
"Bronze",1964,"TUN",1
"Bronze",1964,"TUR",1
"Bronze",1964,"URS",50
"Bronze",1964,"URU",1
"Bronze",1964,"USA",36
"Bronze",1964,"YUG",2
"Bronze",1968,"ARG",2
"Bronze",1968,"AUS",10
"Bronze",1968,"AUT",3
"Bronze",1968,"BEL",2
"Bronze",1968,"BRA",3
"Bronze",1968,"BUL",3
"Bronze",1968,"CAN",4
"Bronze",1968,"DEN",6
"Bronze",1968,"FIN",1
"Bronze",1968,"FRA",10
"Bronze",1968,"FRG",18
"Bronze",1968,"GBR",5
"Bronze",1968,"GDR",19
"Bronze",1968,"GRE",1
"Bronze",1968,"HUN",29
"Bronze",1968,"IND",15
"Bronze",1968,"IRI",2
"Bronze",1968,"ITA",19
"Bronze",1968,"JPN",22
"Bronze",1968,"KEN",2
"Bronze",1968,"KOR",1
"Bronze",1968,"MEX",3
"Bronze",1968,"MGL",3
"Bronze",1968,"NED",1
"Bronze",1968,"NZL",2
"Bronze",1968,"POL",30
"Bronze",1968,"ROU",9
"Bronze",1968,"SUI",10
"Bronze",1968,"SWE",1
"Bronze",1968,"TCH",15
"Bronze",1968,"TPE",1
"Bronze",1968,"TUN",1
"Bronze",1968,"UGA",1
"Bronze",1968,"URS",60
"Bronze",1968,"USA",35
"Bronze",1968,"YUG",2
"Bronze",1972,"AUS",2
"Bronze",1972,"AUT",2
"Bronze",1972,"BRA",2
"Bronze",1972,"BUL",6
"Bronze",1972,"CAN",8
"Bronze",1972,"COL",2
"Bronze",1972,"CUB",18
"Bronze",1972,"ESP",1
"Bronze",1972,"ETH",2
"Bronze",1972,"FIN",6
"Bronze",1972,"FRA",15
"Bronze",1972,"FRG",36
"Bronze",1972,"GBR",12
"Bronze",1972,"GDR",56
"Bronze",1972,"GHA",1
"Bronze",1972,"HUN",25
"Bronze",1972,"IND",14
"Bronze",1972,"IRI",1
"Bronze",1972,"ITA",13
"Bronze",1972,"JAM",1
"Bronze",1972,"JPN",8
"Bronze",1972,"KEN",4
"Bronze",1972,"NED",2
"Bronze",1972,"NGR",1
"Bronze",1972,"NIG",1
"Bronze",1972,"NOR",4
"Bronze",1972,"NZL",1
"Bronze",1972,"POL",11
"Bronze",1972,"PRK",13
"Bronze",1972,"ROU",27
"Bronze",1972,"SWE",8
"Bronze",1972,"TCH",6
"Bronze",1972,"URS",58
"Bronze",1972,"USA",43
"Bronze",1972,"YUG",2
"Bronze",1976,"AUS",8
"Bronze",1976,"AUT",1
"Bronze",1976,"BEL",6
"Bronze",1976,"BER",1
"Bronze",1976,"BRA",3
"Bronze",1976,"BUL",18
"Bronze",1976,"CAN",12
"Bronze",1976,"CUB",14
"Bronze",1976,"DEN",5
"Bronze",1976,"FRA",8
"Bronze",1976,"FRG",30
"Bronze",1976,"GBR",11
"Bronze",1976,"GDR",42
"Bronze",1976,"HUN",35
"Bronze",1976,"IRI",1
"Bronze",1976,"ITA",4
"Bronze",1976,"JPN",10
"Bronze",1976,"KOR",15
"Bronze",1976,"MEX",1
"Bronze",1976,"NED",13
"Bronze",1976,"NZL",9
"Bronze",1976,"PAK",16
"Bronze",1976,"POL",26
"Bronze",1976,"PUR",1
"Bronze",1976,"ROU",23
"Bronze",1976,"SUI",6
"Bronze",1976,"TCH",9
"Bronze",1976,"THA",1
"Bronze",1976,"URS",79
"Bronze",1976,"USA",36
"Bronze",1976,"YUG",3
"Bronze",1980,"AUS",5
"Bronze",1980,"AUT",1
"Bronze",1980,"BRA",5
"Bronze",1980,"BUL",40
"Bronze",1980,"CUB",5
"Bronze",1980,"DEN",2
"Bronze",1980,"ESP",3
"Bronze",1980,"ETH",2
"Bronze",1980,"FIN",5
"Bronze",1980,"FRA",6
"Bronze",1980,"GBR",22
"Bronze",1980,"GDR",61
"Bronze",1980,"GRE",4
"Bronze",1980,"GUY",1
"Bronze",1980,"HUN",40
"Bronze",1980,"IRL",1
"Bronze",1980,"ITA",8
"Bronze",1980,"JAM",3
"Bronze",1980,"LIB",1
"Bronze",1980,"MEX",11
"Bronze",1980,"MGL",2
"Bronze",1980,"NED",5
"Bronze",1980,"POL",22
"Bronze",1980,"PRK",2
"Bronze",1980,"ROU",50
"Bronze",1980,"SWE",9
"Bronze",1980,"TCH",16
"Bronze",1980,"URS",123
"Bronze",1980,"YUG",17
"Bronze",1984,"ALG",2
"Bronze",1984,"AUS",29
"Bronze",1984,"AUT",1
"Bronze",1984,"BEL",2
"Bronze",1984,"BRA",2
"Bronze",1984,"CAN",32
"Bronze",1984,"CHN",37
"Bronze",1984,"CMR",1
"Bronze",1984,"DEN",10
"Bronze",1984,"DOM",1
"Bronze",1984,"ESP",3
"Bronze",1984,"FIN",6
"Bronze",1984,"FRA",31
"Bronze",1984,"FRG",52
"Bronze",1984,"GBR",43
"Bronze",1984,"GRE",1
"Bronze",1984,"ISL",1
"Bronze",1984,"ITA",28
"Bronze",1984,"JAM",2
"Bronze",1984,"JPN",31
"Bronze",1984,"KEN",2
"Bronze",1984,"KOR",7
"Bronze",1984,"MEX",1
"Bronze",1984,"NED",14
"Bronze",1984,"NGR",4
"Bronze",1984,"NOR",3
"Bronze",1984,"NZL",6
"Bronze",1984,"POR",2
"Bronze",1984,"PUR",1
"Bronze",1984,"ROU",35
"Bronze",1984,"SUI",6
"Bronze",1984,"SWE",11
"Bronze",1984,"TPE",1
"Bronze",1984,"TUR",3
"Bronze",1984,"USA",50
"Bronze",1984,"VEN",3
"Bronze",1984,"YUG",35
"Bronze",1984,"ZAM",1
"Bronze",1988,"ARG",12
"Bronze",1988,"AUS",10
"Bronze",1988,"BEL",2
"Bronze",1988,"BRA",5
"Bronze",1988,"BUL",17
"Bronze",1988,"CAN",12
"Bronze",1988,"CHN",31
"Bronze",1988,"COL",1
"Bronze",1988,"DEN",3
"Bronze",1988,"DJI",1
"Bronze",1988,"ESP",2
"Bronze",1988,"FIN",2
"Bronze",1988,"FRA",13
"Bronze",1988,"FRG",44
"Bronze",1988,"GBR",15
"Bronze",1988,"GDR",47
"Bronze",1988,"GRE",1
"Bronze",1988,"HUN",15
"Bronze",1988,"ITA",8
"Bronze",1988,"JPN",13
"Bronze",1988,"KEN",2
"Bronze",1988,"KOR",12
"Bronze",1988,"MAR",2
"Bronze",1988,"MEX",2
"Bronze",1988,"MGL",1
"Bronze",1988,"NED",36
"Bronze",1988,"NZL",16
"Bronze",1988,"PAK",1
"Bronze",1988,"PHI",1
"Bronze",1988,"POL",10
"Bronze",1988,"ROU",13
"Bronze",1988,"SUI",2
"Bronze",1988,"SWE",11
"Bronze",1988,"TCH",3
"Bronze",1988,"THA",1
"Bronze",1988,"URS",95
"Bronze",1988,"USA",52
"Bronze",1988,"YUG",21
"Bronze",1992,"ALG",1
"Bronze",1992,"ARG",2
"Bronze",1992,"AUS",16
"Bronze",1992,"BAH",1
"Bronze",1992,"BEL",2
"Bronze",1992,"BUL",7
"Bronze",1992,"CAN",12
"Bronze",1992,"CHN",19
"Bronze",1992,"COL",1
"Bronze",1992,"CRO",3
"Bronze",1992,"CUB",14
"Bronze",1992,"DEN",9
"Bronze",1992,"ESP",2
"Bronze",1992,"EST",2
"Bronze",1992,"ETH",2
"Bronze",1992,"EUN",66
"Bronze",1992,"FIN",2
"Bronze",1992,"FRA",43
"Bronze",1992,"GBR",39
"Bronze",1992,"GER",60
"Bronze",1992,"GHA",13
"Bronze",1992,"HUN",8
"Bronze",1992,"INA",1
"Bronze",1992,"IOP",2
"Bronze",1992,"IRI",2
"Bronze",1992,"ISR",1
"Bronze",1992,"ITA",14
"Bronze",1992,"JAM",1
"Bronze",1992,"JPN",36
"Bronze",1992,"KEN",2
"Bronze",1992,"KOR",16
"Bronze",1992,"LAT",1
"Bronze",1992,"LTU",12
"Bronze",1992,"MAR",1
"Bronze",1992,"MAS",2
"Bronze",1992,"MGL",2
"Bronze",1992,"NED",8
"Bronze",1992,"NGR",4
"Bronze",1992,"NOR",1
"Bronze",1992,"NZL",5
"Bronze",1992,"PAK",16
"Bronze",1992,"PHI",1
"Bronze",1992,"POL",19
"Bronze",1992,"PRK",6
"Bronze",1992,"PUR",1
"Bronze",1992,"QAT",1
"Bronze",1992,"ROU",14
"Bronze",1992,"SLO",6
"Bronze",1992,"SUR",1
"Bronze",1992,"SWE",7
"Bronze",1992,"TCH",1
"Bronze",1992,"THA",1
"Bronze",1992,"TUR",2
"Bronze",1992,"USA",85
"Bronze",1996,"ALG",1
"Bronze",1996,"ARG",1
"Bronze",1996,"AUS",84
"Bronze",1996,"AUT",2
"Bronze",1996,"BEL",2
"Bronze",1996,"BLR",16
"Bronze",1996,"BRA",44
"Bronze",1996,"BUL",6
"Bronze",1996,"CAN",12
"Bronze",1996,"CHN",17
"Bronze",1996,"CUB",10
"Bronze",1996,"CZE",4
"Bronze",1996,"DEN",1
"Bronze",1996,"ESP",22
"Bronze",1996,"ETH",1
"Bronze",1996,"FIN",1
"Bronze",1996,"FRA",20
"Bronze",1996,"GBR",9
"Bronze",1996,"GEO",2
"Bronze",1996,"GER",47
"Bronze",1996,"HUN",26
"Bronze",1996,"INA",3
"Bronze",1996,"IND",1
"Bronze",1996,"IRI",1
"Bronze",1996,"IRL",1
"Bronze",1996,"ISR",1
"Bronze",1996,"ITA",28
"Bronze",1996,"JAM",12
"Bronze",1996,"JPN",14
"Bronze",1996,"KAZ",4
"Bronze",1996,"KEN",3
"Bronze",1996,"KOR",7
"Bronze",1996,"LTU",12
"Bronze",1996,"MAR",2
"Bronze",1996,"MAS",1
"Bronze",1996,"MDA",1
"Bronze",1996,"MEX",1
"Bronze",1996,"MGL",1
"Bronze",1996,"MOZ",1
"Bronze",1996,"NED",26
"Bronze",1996,"NGR",3
"Bronze",1996,"NOR",20
"Bronze",1996,"NZL",4
"Bronze",1996,"POL",7
"Bronze",1996,"POR",2
"Bronze",1996,"PRK",2
"Bronze",1996,"PUR",1
"Bronze",1996,"ROU",15
"Bronze",1996,"RSA",1
"Bronze",1996,"RUS",34
"Bronze",1996,"SVK",1
"Bronze",1996,"SWE",5
"Bronze",1996,"THA",1
"Bronze",1996,"TRI",2
"Bronze",1996,"TUN",1
"Bronze",1996,"TUR",1
"Bronze",1996,"UGA",1
"Bronze",1996,"UKR",19
"Bronze",1996,"USA",52
"Bronze",1996,"UZB",1
"Bronze",1996,"YUG",13
"Bronze",2000,"ALG",3
"Bronze",2000,"ARG",3
"Bronze",2000,"ARM",1
"Bronze",2000,"AUS",54
"Bronze",2000,"AZE",1
"Bronze",2000,"BAR",1
"Bronze",2000,"BEL",4
"Bronze",2000,"BLR",11
"Bronze",2000,"BRA",36
"Bronze",2000,"BUL",2
"Bronze",2000,"CAN",23
"Bronze",2000,"CHI",18
"Bronze",2000,"CHN",17
"Bronze",2000,"CRC",2
"Bronze",2000,"CRO",9
"Bronze",2000,"CUB",12
"Bronze",2000,"CZE",4
"Bronze",2000,"DEN",4
"Bronze",2000,"ESP",20
"Bronze",2000,"EST",2
"Bronze",2000,"ETH",3
"Bronze",2000,"FIN",1
"Bronze",2000,"FRA",14
"Bronze",2000,"GBR",13
"Bronze",2000,"GEO",6
"Bronze",2000,"GER",65
"Bronze",2000,"GRE",8
"Bronze",2000,"HUN",4
"Bronze",2000,"INA",2
"Bronze",2000,"IND",1
"Bronze",2000,"IRI",1
"Bronze",2000,"ISL",1
"Bronze",2000,"ISR",1
"Bronze",2000,"ITA",29
"Bronze",2000,"JAM",9
"Bronze",2000,"JPN",8
"Bronze",2000,"KEN",2
"Bronze",2000,"KGZ",1
"Bronze",2000,"KOR",35
"Bronze",2000,"KSA",1
"Bronze",2000,"KUW",1
"Bronze",2000,"LAT",1
"Bronze",2000,"LTU",15
"Bronze",2000,"MAR",4
"Bronze",2000,"MDA",1
"Bronze",2000,"MEX",3
"Bronze",2000,"MKD",1
"Bronze",2000,"NED",23
"Bronze",2000,"NOR",19
"Bronze",2000,"NZL",3
"Bronze",2000,"POL",7
"Bronze",2000,"POR",2
"Bronze",2000,"PRK",3
"Bronze",2000,"QAT",1
"Bronze",2000,"ROU",13
"Bronze",2000,"RSA",3
"Bronze",2000,"RUS",54
"Bronze",2000,"SUI",2
"Bronze",2000,"SVK",1
"Bronze",2000,"SWE",8
"Bronze",2000,"THA",2
"Bronze",2000,"TPE",4
"Bronze",2000,"TRI",1
"Bronze",2000,"TUR",2
"Bronze",2000,"UKR",12
"Bronze",2000,"USA",52
"Bronze",2000,"UZB",2
"Bronze",2000,"YUG",13
"Bronze",2004,"ARG",21
"Bronze",2004,"AUS",30
"Bronze",2004,"AUT",1
"Bronze",2004,"AZE",4
"Bronze",2004,"BAH",1
"Bronze",2004,"BEL",2
"Bronze",2004,"BLR",9
"Bronze",2004,"BRA",3
"Bronze",2004,"BUL",14
"Bronze",2004,"CAN",4
"Bronze",2004,"CHI",1
"Bronze",2004,"CHN",15
"Bronze",2004,"COL",2
"Bronze",2004,"CRO",3
"Bronze",2004,"CUB",22
"Bronze",2004,"CZE",5
"Bronze",2004,"DEN",10
"Bronze",2004,"EGY",3
"Bronze",2004,"ERI",1
"Bronze",2004,"ESP",8
"Bronze",2004,"EST",2
"Bronze",2004,"ETH",2
"Bronze",2004,"FRA",22
"Bronze",2004,"GBR",15
"Bronze",2004,"GER",63
"Bronze",2004,"GRE",5
"Bronze",2004,"HUN",4
"Bronze",2004,"INA",3
"Bronze",2004,"IRI",2
"Bronze",2004,"ISR",1
"Bronze",2004,"ITA",39
"Bronze",2004,"JAM",6
"Bronze",2004,"JPN",53
"Bronze",2004,"KAZ",3
"Bronze",2004,"KEN",2
"Bronze",2004,"KOR",10
"Bronze",2004,"MEX",1
"Bronze",2004,"MGL",1
"Bronze",2004,"NED",22
"Bronze",2004,"NGR",8
"Bronze",2004,"NOR",2
"Bronze",2004,"POL",6
"Bronze",2004,"POR",1
"Bronze",2004,"PRK",1
"Bronze",2004,"ROU",11
"Bronze",2004,"RSA",3
"Bronze",2004,"RUS",96
"Bronze",2004,"SLO",3
"Bronze",2004,"SUI",4
"Bronze",2004,"SVK",5
"Bronze",2004,"SWE",2
"Bronze",2004,"SYR",1
"Bronze",2004,"THA",4
"Bronze",2004,"TPE",3
"Bronze",2004,"TRI",1
"Bronze",2004,"TUR",4
"Bronze",2004,"UKR",31
"Bronze",2004,"USA",73
"Bronze",2004,"UZB",2
"Bronze",2004,"VEN",2
"Bronze",2004,"ZIM",1
"Bronze",2008,"AFG",1
"Bronze",2008,"ALG",1
"Bronze",2008,"ARG",31
"Bronze",2008,"ARM",6
"Bronze",2008,"AUS",76
"Bronze",2008,"AUT",2
"Bronze",2008,"AZE",4
"Bronze",2008,"BAH",1
"Bronze",2008,"BLR",17
"Bronze",2008,"BRA",27
"Bronze",2008,"BUL",3
"Bronze",2008,"CAN",10
"Bronze",2008,"CHN",57
"Bronze",2008,"COL",1
"Bronze",2008,"CRO",3
"Bronze",2008,"CUB",11
"Bronze",2008,"DEN",6
"Bronze",2008,"EGY",1
"Bronze",2008,"ESP",16
"Bronze",2008,"ETH",2
"Bronze",2008,"FIN",2
"Bronze",2008,"FRA",28
"Bronze",2008,"GBR",21
"Bronze",2008,"GEO",3
"Bronze",2008,"GER",43
"Bronze",2008,"GRE",4
"Bronze",2008,"HUN",3
"Bronze",2008,"INA",3
"Bronze",2008,"IND",2
"Bronze",2008,"IRI",1
"Bronze",2008,"IRL",2
"Bronze",2008,"ISR",1
"Bronze",2008,"ITA",20
"Bronze",2008,"JAM",5
"Bronze",2008,"JPN",17
"Bronze",2008,"KAZ",7
"Bronze",2008,"KEN",4
"Bronze",2008,"KGZ",1
"Bronze",2008,"KOR",26
"Bronze",2008,"LAT",1
"Bronze",2008,"LTU",3
"Bronze",2008,"MAR",1
"Bronze",2008,"MDA",1
"Bronze",2008,"MEX",2
"Bronze",2008,"MRI",1
"Bronze",2008,"NED",4
"Bronze",2008,"NGR",6
"Bronze",2008,"NOR",1
"Bronze",2008,"NZL",8
"Bronze",2008,"POL",1
"Bronze",2008,"PRK",3
"Bronze",2008,"ROU",16
"Bronze",2008,"RUS",56
"Bronze",2008,"SLO",2
"Bronze",2008,"SRB",14
"Bronze",2008,"SUI",8
"Bronze",2008,"SVK",1
"Bronze",2008,"SWE",2
"Bronze",2008,"TJK",1
"Bronze",2008,"TOG",1
"Bronze",2008,"TPE",4
"Bronze",2008,"TUR",3
"Bronze",2008,"UKR",16
"Bronze",2008,"USA",81
"Bronze",2008,"UZB",3
"Bronze",2008,"VEN",1
"Gold",1896,"AUS",2
"Gold",1896,"AUT",2
"Gold",1896,"DEN",1
"Gold",1896,"FRA",5
"Gold",1896,"GBR",2
"Gold",1896,"GER",26
"Gold",1896,"GRE",10
"Gold",1896,"HUN",2
"Gold",1896,"SUI",1
"Gold",1896,"USA",11
"Gold",1896,"ZZX",2
"Gold",1900,"AUS",2
"Gold",1900,"BEL",5
"Gold",1900,"CAN",1
"Gold",1900,"CUB",1
"Gold",1900,"DEN",1
"Gold",1900,"ESP",2
"Gold",1900,"FRA",46
"Gold",1900,"GBR",48
"Gold",1900,"GER",11
"Gold",1900,"HUN",1
"Gold",1900,"ITA",2
"Gold",1900,"SUI",13
"Gold",1900,"USA",27
"Gold",1900,"ZZX",18
"Gold",1904,"CAN",26
"Gold",1904,"CUB",4
"Gold",1904,"GBR",1
"Gold",1904,"GER",4
"Gold",1904,"GRE",1
"Gold",1904,"HUN",2
"Gold",1904,"SUI",1
"Gold",1904,"USA",146
