"Year","NOC","Bronze","Gold","Silver"
1952,"TCH",10,11,4
1952,"TRI",2,0,0
1952,"TUR",1,2,0
1952,"URS",19,36,62
1952,"URU",14,0,0
1952,"USA",28,79,23
1952,"VEN",1,0,0
1956,"ARG",1,0,1
1956,"AUS",26,23,12
1956,"AUT",4,0,0
1956,"BAH",2,0,0
1956,"BUL",14,1,3
1956,"CAN",5,5,9
1956,"CHI",2,0,2
1956,"DEN",1,1,5
1956,"EUA",22,12,23
1956,"FIN",22,3,1
1956,"FRA",13,6,13
1956,"GBR",22,8,15
1956,"GRE",1,0,0
1956,"HUN",14,30,20
1956,"IRI",1,2,2
1956,"IRL",3,1,1
1956,"ITA",10,25,11
1956,"JPN",5,4,15
1956,"KOR",1,0,1
1956,"MEX",1,1,0
1956,"NOR",2,1,0
1956,"POL",9,1,9
1956,"ROU",10,6,3
1956,"RSA",7,0,0
1956,"SUI",3,0,0
1956,"SWE",6,14,14
1956,"TCH",1,1,5
1956,"TUR",2,3,2
1956,"URS",55,68,46
1956,"URU",12,0,0
1956,"USA",20,61,37
1960,"ARG",1,0,3
1960,"AUS",9,10,17
1960,"BEL",2,0,2
1960,"BRA",13,0,0
1960,"BUL",3,1,3
1960,"BWI",5,0,0
1960,"DEN",4,2,17
1960,"EGY",1,0,1
1960,"ESP",14,0,0
1960,"EUA",21,34,33
1960,"FIN",4,1,1
1960,"FRA",5,0,6
1960,"GBR",15,2,11
1960,"HUN",36,13,16
1960,"IRI",3,0,1
1960,"IRQ",1,0,0
1960,"ITA",34,36,18
1960,"JPN",10,9,10
1960,"MEX",1,0,0
1960,"NED",2,0,1
1960,"NZL",1,2,0
1960,"PAK",1,13,0
1960,"POL",15,4,11
1960,"ROU",11,3,1
1960,"RSA",2,0,1
1960,"SUI",6,0,5
1960,"SWE",3,2,2
1960,"TCH",11,4,7
1960,"URS",45,61,63
1960,"USA",21,68,23
1960,"VEN",1,0,0
1964,"AUS",29,8,5
1964,"BEL",1,2,0
1964,"BRA",12,0,0
1964,"BUL",2,3,5
1964,"CAN",1,2,2
1964,"DEN",4,7,1
1964,"EUA",49,22,44
1964,"FIN",2,3,0
1964,"FRA",17,1,13
1964,"GBR",5,4,19
1964,"GHA",1,0,0
1964,"HUN",7,42,7
1964,"IRI",2,0,0
1964,"IRL",1,0,0
1964,"ITA",9,13,28
1964,"JPN",27,32,5
1964,"KEN",1,0,0
1964,"KOR",1,0,2
1964,"MEX",1,0,0
1964,"NED",16,5,9
1964,"NGR",1,0,0
1964,"NZL",2,4,0
1964,"POL",25,10,13
1964,"ROU",10,2,4
1964,"SUI",1,1,4
1964,"SWE",8,3,4
1964,"TCH",12,5,38
1964,"TRI",5,0,1
1964,"TUN",1,0,1
1964,"TUR",1,2,3
1964,"URS",50,61,63
1964,"URU",1,0,0
1964,"USA",36,78,36
1964,"YUG",2,2,11
1968,"ARG",2,0,0
1968,"AUS",10,5,34
1968,"AUT",3,0,2
1968,"BEL",2,0,1
1968,"BRA",3,0,1
1968,"BUL",3,2,21
1968,"CAN",4,3,3
1968,"DEN",6,4,6
1968,"FIN",1,1,2
1968,"FRA",10,12,5
1968,"FRG",18,16,15
1968,"GBR",5,8,5
1968,"GDR",19,13,19
1968,"GRE",1,0,0
1968,"HUN",29,32,20
1968,"IND",15,0,0
1968,"IRI",2,2,1
1968,"ITA",19,5,8
1968,"JPN",22,16,29
1968,"KEN",2,3,7
1968,"KOR",1,0,1
1968,"MEX",3,3,3
1968,"MGL",3,0,1
1968,"NED",1,6,7
1968,"NZL",2,5,0
1968,"POL",30,5,2
1968,"ROU",9,5,9
1968,"SUI",10,0,3
1968,"SWE",1,4,4
1968,"TCH",15,7,7
1968,"TPE",1,0,0
1968,"TUN",1,1,0
1968,"UGA",1,0,1
1968,"URS",60,66,62
1968,"USA",35,83,31
1968,"YUG",2,13,14
1972,"AUS",2,11,7
1972,"AUT",2,0,1
1972,"BRA",2,0,0
1972,"BUL",6,6,10
1972,"CAN",8,0,2
1972,"COL",2,0,1
1972,"CUB",18,3,1
1972,"ESP",1,0,0
1972,"ETH",2,0,0
1972,"FIN",6,3,1
1972,"FRA",15,2,5
1972,"FRG",36,43,17
1972,"GBR",12,8,9
1972,"GDR",56,30,62
1972,"GHA",1,0,0
1972,"HUN",25,10,46
1972,"IND",14,0,0
1972,"IRI",1,0,2
1972,"ITA",13,9,3
1972,"JAM",1,0,0
1972,"JPN",8,29,19
1972,"KEN",4,5,3
1972,"NED",2,3,1
1972,"NGR",1,0,0
1972,"NIG",1,0,0
1972,"NOR",4,2,2
1972,"NZL",1,9,4
1972,"POL",11,27,8
1972,"PRK",13,1,1
1972,"ROU",27,3,10
1972,"SWE",8,4,9
1972,"TCH",6,2,21
1972,"URS",58,107,46
1972,"USA",43,53,59
1972,"YUG",2,15,1
1976,"AUS",8,0,16
1976,"AUT",1,0,0
1976,"BEL",6,0,3
1976,"BER",1,0,0
1976,"BRA",3,0,0
1976,"BUL",18,8,13
1976,"CAN",12,0,8
1976,"CUB",14,6,4
1976,"DEN",5,3,0
1976,"FRA",8,5,7
1976,"FRG",30,21,24
1976,"GBR",11,6,15
1976,"GDR",42,99,51
1976,"HUN",35,14,6
1976,"IRI",1,0,1
1976,"ITA",4,2,25
1976,"JPN",10,25,6
1976,"KOR",15,1,1
1976,"MEX",1,1,0
1976,"NED",13,0,2
1976,"NZL",9,17,1
1976,"PAK",16,0,0
1976,"POL",26,18,29
1976,"PUR",1,0,0
1976,"ROU",23,4,28
1976,"SUI",6,1,3
1976,"TCH",9,2,4
1976,"THA",1,0,0
1976,"URS",79,113,93
1976,"USA",36,63,56
1976,"YUG",3,2,14
1980,"AUS",5,5,2
1980,"AUT",1,1,3
1980,"BRA",5,4,0
1980,"BUL",40,8,46
1980,"CUB",5,8,7
1980,"DEN",2,4,2
1980,"ESP",3,2,19
1980,"ETH",2,2,0
1980,"FIN",5,3,1
1980,"FRA",6,18,5
1980,"GBR",22,5,18
1980,"GDR",61,112,87
1980,"GRE",4,1,0
1980,"GUY",1,0,0
1980,"HUN",40,8,13
1980,"IRL",1,0,2
1980,"ITA",8,8,21
1980,"JAM",3,0,0
1980,"LIB",1,0,0
1980,"MEX",11,0,1
1980,"MGL",2,0,2
1980,"NED",5,0,1
1980,"POL",22,3,25
1980,"PRK",2,0,3
1980,"ROU",50,7,15
1980,"SWE",9,3,6
1980,"TCH",16,18,18
1980,"URS",123,192,127
1980,"YUG",17,13,27
1984,"ALG",2,0,0
1984,"AUS",29,7,14
1984,"AUT",1,1,1
1984,"BEL",2,1,2
1984,"BRA",2,1,34
1984,"CAN",32,19,35
1984,"CHN",37,26,13
1984,"CMR",1,0,0
1984,"DEN",10,0,5
1984,"DOM",1,0,0
1984,"ESP",3,2,14
1984,"FIN",6,4,2
1984,"FRA",31,21,16
1984,"FRG",52,31,74
1984,"GBR",43,9,20
1984,"GRE",1,0,1
1984,"ISL",1,0,0
1984,"ITA",28,29,6
1984,"JAM",2,0,4
1984,"JPN",31,10,8
1984,"KEN",2,1,0
1984,"KOR",7,6,29
1984,"MEX",1,2,3
1984,"NED",14,20,6
1984,"NGR",4,0,1
1984,"NOR",3,0,1
1984,"NZL",6,16,1
1984,"POR",2,1,0
1984,"PUR",1,0,1
1984,"ROU",35,40,31
1984,"SUI",6,0,9
1984,"SWE",11,3,18
1984,"TPE",1,0,0
1984,"TUR",3,0,0
1984,"USA",50,168,115
1984,"VEN",3,0,0
1984,"YUG",35,47,5
1984,"ZAM",1,0,0
1988,"ARG",12,0,1
1988,"AUS",10,18,6
1988,"BEL",2,0,0
1988,"BRA",5,1,22
1988,"BUL",17,10,14
1988,"CAN",12,4,5
1988,"CHN",31,6,16
1988,"COL",1,0,0
1988,"DEN",3,3,1
1988,"DJI",1,0,0
1988,"ESP",2,1,2
1988,"FIN",2,1,1
1988,"FRA",13,12,4
1988,"FRG",44,32,37
1988,"GBR",15,22,16
1988,"GDR",47,75,52
1988,"GRE",1,0,0
1988,"HUN",15,20,9
1988,"ITA",8,11,10
1988,"JPN",13,4,3
1988,"KEN",2,5,2
1988,"KOR",12,28,37
1988,"MAR",2,1,0
1988,"MEX",2,0,0
1988,"MGL",1,0,0
1988,"NED",36,3,5
1988,"NZL",16,4,4
1988,"PAK",1,0,0
1988,"PHI",1,0,0
1988,"POL",10,2,9
1988,"ROU",13,8,30
1988,"SUI",2,0,6
1988,"SWE",11,0,5
1988,"TCH",3,3,4
1988,"THA",1,0,0
1988,"URS",95,134,65
1988,"USA",52,77,64
1988,"YUG",21,15,27
1992,"ALG",1,1,0
1992,"ARG",2,0,0
1992,"AUS",16,14,27
1992,"BAH",1,0,0
1992,"BEL",2,0,1
1992,"BUL",7,3,7
1992,"CAN",12,27,5
1992,"CHN",19,18,46
1992,"COL",1,0,0
1992,"CRO",3,0,12
1992,"CUB",14,44,13
1992,"DEN",9,3,2
1992,"ESP",2,44,20
1992,"EST",2,1,0
1992,"ETH",2,1,0
1992,"EUN",66,92,65
1992,"FIN",2,1,4
1992,"FRA",43,9,5
1992,"GBR",39,8,3
1992,"GER",60,81,57
1992,"GHA",13,0,0
1992,"HUN",8,14,23
1992,"INA",1,2,3
1992,"IOP",2,0,1
1992,"IRI",2,0,1
1992,"ISR",1,0,1
1992,"ITA",14,22,10
1992,"JAM",1,0,3
1992,"JPN",36,3,8
1992,"KEN",2,2,4
1992,"KOR",16,28,5
1992,"LAT",1,0,2
1992,"LTU",12,1,0
1992,"MAR",1,1,1
1992,"MAS",2,0,0
1992,"MGL",2,0,0
1992,"NED",8,5,20
1992,"NGR",4,0,7
1992,"NOR",1,2,20
1992,"NZL",5,1,9
1992,"PAK",16,0,0
1992,"PHI",1,0,0
1992,"POL",19,5,18
1992,"PRK",6,4,0
1992,"PUR",1,0,0
1992,"QAT",1,0,0
1992,"ROU",14,8,31
1992,"SLO",6,0,0
1992,"SUR",1,0,0
1992,"SWE",7,1,27
1992,"TCH",1,4,3
1992,"THA",1,0,0
1992,"TUR",2,2,2
1992,"USA",85,89,50
1996,"ALG",1,2,0
1996,"ARG",1,0,19
1996,"AUS",84,32,16
1996,"AUT",2,0,1
1996,"BEL",2,2,2
1996,"BLR",16,1,6
1996,"BRA",44,5,15
1996,"BUL",6,3,12
1996,"CAN",12,8,31
1996,"CHN",17,19,74
1996,"CUB",10,39,8
1996,"CZE",4,4,5
1996,"DEN",1,22,1
1996,"ESP",22,24,21
1996,"ETH",1,2,0
1996,"FIN",1,1,2
1996,"FRA",20,21,10
1996,"GBR",9,2,15
1996,"GEO",2,0,0
1996,"GER",47,42,35
1996,"HUN",26,8,9
1996,"INA",3,2,1
1996,"IND",1,0,0
1996,"IRI",1,1,1
1996,"IRL",1,3,0
1996,"ISR",1,0,0
1996,"ITA",28,19,24
1996,"JAM",12,1,3
1996,"JPN",14,3,26
1996,"KAZ",4,3,4
1996,"KEN",3,1,4
1996,"KOR",7,10,49
1996,"LTU",12,0,0
1996,"MAR",2,0,0
1996,"MAS",1,0,2
1996,"MDA",1,0,2
1996,"MEX",1,0,0
1996,"MGL",1,0,0
1996,"MOZ",1,0,0
1996,"NED",26,38,9
1996,"NGR",3,19,4
1996,"NOR",20,2,3
1996,"NZL",4,3,2
1996,"POL",7,7,7
1996,"POR",2,1,0
1996,"PRK",2,2,1
1996,"PUR",1,0,0
1996,"ROU",15,13,10
1996,"RSA",1,3,1
1996,"RUS",34,36,45
1996,"SVK",1,1,1
1996,"SWE",5,3,23
1996,"THA",1,1,0
1996,"TRI",2,0,0
1996,"TUN",1,0,0
1996,"TUR",1,4,1
1996,"UGA",1,0,0
1996,"UKR",19,10,5
1996,"USA",52,160,48
1996,"UZB",1,0,1
1996,"YUG",13,1,12
2000,"ALG",3,1,1
2000,"ARG",3,0,17
2000,"ARM",1,0,0
2000,"AUS",54,60,69
2000,"AZE",1,2,0
2000,"BAR",1,0,0
2000,"BEL",4,0,3
2000,"BLR",11,3,8
2000,"BRA",36,0,12
2000,"BUL",2,5,6
2000,"CAN",23,4,4
2000,"CHI",18,0,0
2000,"CHN",17,39,23
2000,"CRC",2,0,0
2000,"CRO",9,1,0
2000,"CUB",12,22,35
2000,"CZE",4,2,3
2000,"DEN",4,18,3
2000,"ESP",20,3,20
2000,"EST",2,1,0
2000,"ETH",3,4,1
2000,"FIN",1,3,1
2000,"FRA",14,22,30
2000,"GBR",13,22,20
2000,"GEO",6,0,0
2000,"GER",65,31,23
2000,"GRE",8,4,6
2000,"HUN",4,25,24
2000,"INA",2,2,4
2000,"IND",1,0,0
2000,"IRI",1,3,0
2000,"ISL",1,0,0
2000,"ISR",1,0,0
2000,"ITA",29,22,14
2000,"JAM",9,0,14
2000,"JPN",8,5,30
2000,"KEN",2,2,3
2000,"KGZ",1,0,0
2000,"KOR",35,12,26
2000,"KSA",1,0,1
2000,"KUW",1,0,0
2000,"LAT",1,1,1
2000,"LTU",15,2,0
2000,"MAR",4,0,1
2000,"MDA",1,0,1
2000,"MEX",3,1,2
2000,"MKD",1,0,0
2000,"NED",23,27,29
2000,"NOR",19,21,4
2000,"NZL",3,1,0
2000,"POL",7,7,10
2000,"POR",2,0,0
2000,"PRK",3,0,1
2000,"QAT",1,0,0
2000,"ROU",13,27,6
2000,"RSA",3,0,2
2000,"RUS",54,66,68
2000,"SUI",2,1,11
2000,"SVK",1,2,3
2000,"SWE",8,4,20
2000,"THA",2,1,0
2000,"TPE",4,0,1
2000,"TRI",1,0,1
2000,"TUR",2,3,0
2000,"UKR",12,3,20
2000,"USA",52,130,66
2000,"UZB",2,1,1
2000,"YUG",13,12,1
2004,"ARG",21,26,0
2004,"AUS",30,49,78
2004,"AUT",1,3,4
2004,"AZE",4,1,0
2004,"BAH",1,1,0
2004,"BEL",2,1,0
2004,"BLR",9,2,6
2004,"BRA",3,18,19
2004,"BUL",14,2,1
2004,"CAN",4,3,10
2004,"CHI",1,3,0
2004,"CHN",15,52,27
2004,"COL",2,0,0
2004,"CRO",3,14,3
2004,"CUB",22,31,8
2004,"CZE",5,1,6
2004,"DEN",10,19,0
2004,"EGY",3,1,1
2004,"ERI",1,0,0
2004,"ESP",8,4,15
2004,"EST",2,0,1
2004,"ETH",2,2,3
2004,"FRA",22,21,10
2004,"GBR",15,17,25
2004,"GER",63,41,45
2004,"GRE",5,8,18
2004,"HUN",4,24,12
2004,"INA",3,1,1
2004,"IRI",2,2,2
2004,"ISR",1,1,0
2004,"ITA",39,24,39
2004,"JAM",6,6,1
2004,"JPN",53,21,20
2004,"KAZ",3,1,4
2004,"KEN",2,1,4
2004,"KOR",10,14,28
2004,"MEX",1,0,3
2004,"MGL",1,0,0
2004,"NED",22,4,50
2004,"NGR",8,0,0
2004,"NOR",2,5,0
2004,"POL",6,4,2
2004,"POR",1,0,2
2004,"PRK",1,0,4
2004,"ROU",11,23,5
2004,"RSA",3,4,3
2004,"RUS",96,47,49
2004,"SLO",3,0,2
2004,"SUI",4,1,2
2004,"SVK",5,3,2
2004,"SWE",2,5,5
2004,"SYR",1,0,0
2004,"THA",4,3,1
2004,"TPE",3,2,4
2004,"TRI",1,0,0
2004,"TUR",4,3,3
2004,"UKR",31,9,8
2004,"USA",73,116,75
2004,"UZB",2,2,1
2004,"VEN",2,0,0
2004,"ZIM",1,1,1
2008,"AFG",1,0,0
2008,"ALG",1,0,1
2008,"ARG",31,20,0
2008,"ARM",6,0,0
2008,"AUS",76,31,42
2008,"AUT",2,0,1
2008,"AZE",4,1,2
2008,"BAH",1,0,4
2008,"BLR",17,8,5
2008,"BRA",27,14,34
2008,"BUL",3,1,1
2008,"CAN",10,11,13
2008,"CHN",57,74,53
2008,"COL",1,0,1
2008,"CRO",3,0,2
2008,"CUB",11,2,34
2008,"DEN",6,6,6
2008,"EGY",1,0,0
2008,"ESP",16,7,48
2008,"ETH",2,4,1
2008,"FIN",2,1,2
2008,"FRA",28,25,23
2008,"GBR",21,31,25
2008,"GEO",3,3,0
2008,"GER",43,42,16
2008,"GRE",4,0,3
2008,"HUN",3,16,8
2008,"INA",3,2,2
2008,"IND",2,1,0
2008,"IRI",1,1,0
2008,"IRL",2,0,1
2008,"ISR",1,0,0
2008,"ITA",20,8,14
2008,"JAM",5,9,3
2008,"JPN",17,23,11
2008,"KAZ",7,2,4
2008,"KEN",4,6,4
2008,"KGZ",1,0,1
2008,"KOR",26,41,11
2008,"LAT",1,1,1
2008,"LTU",3,0,2
2008,"MAR",1,0,1
2008,"MDA",1,0,0
2008,"MEX",2,2,0
2008,"MRI",1,0,0
2008,"NED",4,40,18
2008,"NGR",6,0,18
2008,"NOR",1,16,5
2008,"NZL",8,4,2
2008,"POL",1,6,13
2008,"PRK",3,2,1
2008,"ROU",16,5,1
2008,"RUS",56,43,44
2008,"SLO",2,1,2
2008,"SRB",14,0,1
2008,"SUI",8,3,0
2008,"SVK",1,4,5
2008,"SWE",2,0,5
2008,"TJK",1,0,1
2008,"TOG",1,0,0
2008,"TPE",4,0,0
2008,"TUR",3,1,4
2008,"UKR",16,10,5
2008,"USA",81,125,109
2008,"UZB",3,1,2
2008,"VEN",1,0,0
1896,"AUS",0,2,0
1896,"SUI",0,1,2
1900,"CUB",0,1,1
1900,"ESP",0,2,0
1900,"ITA",0,2,2
1904,"CAN",0,26,9
1904,"GBR",0,1,1
1904,"ZZX",0,3,5
1908,"ITA",0,2,5
1908,"RSA",0,1,1
1908,"RU1",0,1,2
1912,"RSA",0,5,2
1920,"EST",0,1,2
1924,"URU",0,22,0
1924,"YUG",0,2,0
1928,"ESP",0,3,0
1928,"HUN",0,9,11
1928,"IND",0,15,0
1928,"IRL",0,1,0
1928,"NZL",0,1,0
1928,"URU",0,22,0
1932,"ARG",0,3,1
1932,"IND",0,11,0
1932,"IRL",0,2,0
1932,"NED",0,2,10
1936,"IND",0,19,0
1936,"NZL",0,1,0
1936,"TCH",0,5,12
1948,"IND",0,20,0
1948,"JAM",0,1,2
1948,"PER",0,1,0
1952,"BEL",0,4,3
1952,"CAN",0,1,3
1952,"JAM",0,5,3
1952,"LUX",0,1,0
1952,"NOR",0,5,8
1952,"YUG",0,4,20
1956,"BRA",0,1,0
1956,"IND",0,17,0
1956,"NZL",0,3,0
1960,"AUT",0,1,2
1960,"ETH",0,1,0
1960,"GRE",0,3,0
1960,"NOR",0,2,0
1960,"TUR",0,7,2
1960,"YUG",0,16,1
1964,"BAH",0,2,0
1964,"ETH",0,1,0
1964,"IND",0,15,0
1968,"ETH",0,1,1
1968,"NOR",0,4,2
1968,"PAK",0,13,0
1968,"TUR",0,2,0
1968,"VEN",0,1,0
1972,"DEN",0,1,0
1972,"UGA",0,1,1
1976,"FIN",0,4,2
1976,"JAM",0,1,1
1976,"NOR",0,2,4
1976,"PRK",0,1,1
1976,"SWE",0,9,1
1976,"TRI",0,1,0
1980,"BEL",0,1,0
1980,"IND",0,16,0
1980,"SUI",0,2,0
1980,"ZIM",0,16,0
1984,"MAR",0,2,0
1984,"PAK",0,16,0
1988,"AUT",0,1,0
1988,"NOR",0,2,21
1988,"POR",0,1,0
1988,"SUR",0,1,0
1988,"TUR",0,1,1
1992,"BRA",0,13,1
1992,"GRE",0,2,0
1992,"IRL",0,1,1
1992,"SUI",0,1,0
1996,"ARM",0,1,1
1996,"BDI",0,1,0
1996,"CRC",0,1,0
1996,"CRO",0,16,13
1996,"ECU",0,1,0
1996,"GRE",0,4,4
1996,"HKG",0,1,0
1996,"SUI",0,5,6
1996,"SYR",0,1,0
2000,"AUT",0,3,1
2000,"BAH",0,6,0
2000,"CMR",0,18,0
2000,"COL",0,1,0
2000,"KAZ",0,3,4
2000,"MOZ",0,1,0
2000,"SLO",0,3,0
2004,"CMR",0,1,0
2004,"DOM",0,1,0
2004,"GEO",0,2,2
2004,"LTU",0,1,2
2004,"MAR",0,2,1
2004,"NZL",0,4,2
2004,"UAE",0,1,0
2008,"BEL",0,1,4
2008,"CMR",0,1,0
2008,"CZE",0,3,4
2008,"DOM",0,1,1
2008,"EST",0,1,2
2008,"MGL",0,2,2
2008,"PAN",0,1,0
2008,"POR",0,1,1
2008,"THA",0,2,2
2008,"TUN",0,1,0
2008,"ZIM",0,1,3
1900,"IND",0,0,2
1908,"GRE",0,0,3
1920,"ESP",0,0,24
1920,"GRE",0,0,5
1920,"JPN",0,0,3
1920,"LUX",0,0,1
1928,"CHI",0,0,1
1928,"HAI",0,0,1
1932,"LAT",0,0,1
1932,"MEX",0,0,2
1932,"NZL",0,0,2
1932,"SUI",0,0,1
1936,"ROU",0,0,2
1936,"RSA",0,0,1
1936,"YUG",0,0,1
1948,"CUB",0,0,2
1948,"ESP",0,0,3
1948,"SRI",0,0,1
1948,"TRI",0,0,1
1948,"YUG",0,0,16
1952,"CHI",0,0,4
1952,"ESP",0,0,1
1952,"IRL",0,0,1
1952,"MEX",0,0,1
1952,"NED",0,0,18
1956,"BEL",0,0,2
1956,"ISL",0,0,1
1956,"PAK",0,0,14
1956,"YUG",0,0,23
1960,"CAN",0,0,9
1960,"GHA",0,0,1
1960,"IND",0,0,13
1960,"MAR",0,0,1
1960,"POR",0,0,2
1960,"SIN",0,0,1
1960,"TPE",0,0,1
1964,"ARG",0,0,1
1964,"CUB",0,0,1
1964,"PAK",0,0,16
1964,"PHI",0,0,1
1968,"CMR",0,0,1
1968,"CUB",0,0,10
1968,"JAM",0,0,1
1972,"ARG",0,0,1
1972,"BEL",0,0,2
1972,"GRE",0,0,2
